"","","","Cabling","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","DMX 5'","0","3/24/2015 12:58:34 AM","","","04768947-FDFD-A948-A361-CCDDC1C95A32","","4",""
"","","","Cabling","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","DMX 100'","0","6/8/2016 12:01:48 PM","","","7A8E25EF-62CF-C64D-8C1D-EB60E1DBEB45","","",""
"","","","Cabling","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","DMX 50'","0","3/24/2015 12:58:35 AM","","","7A38C5C9-02B4-8543-8AE7-CAB47C9241EF","","4",""
"","","","Tools","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","C-Wrench","0","3/24/2015 12:58:36 AM","","","72CC44F1-3A24-CF44-892D-52761440810F","","1",""
"","","","Extra","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","Tape, Tie Line, etc...","0","6/8/2016 12:01:49 PM","","","C61B6153-4EC3-1C46-919F-4E638E0FDA89","","",""
"","","","Computer","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","NSP L2","0","3/24/2015 12:58:37 AM","","","8F5522F4-58C7-794C-8737-0FECCE7C9A93","","1",""
"","","","Extra","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","Safety","0","6/8/2016 12:01:51 PM","","","5CA05A52-46EA-9C4D-AE38-2D3CA2E046F0","","",""
"Power","","","Cabling","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","E32261ED-7A21-3749-A10D-60346784C3C0","Feeder 150'","0","3/24/2015 1:05:36 AM","","","CE63DBEB-8EFD-3040-BE64-D5975BFD78C2","0","1","Feeder"
"Power","","","Cabling","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","928B097B-65B5-6449-8A33-C3788CD5C57F","Feeder 50'","0","3/24/2015 1:05:37 AM","","","9532865E-F0C9-0B45-8040-57C311E70870","0","2","Feeder"
"","","","Cabling","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","AC 100'","0","3/24/2015 12:58:39 AM","","","2D3A7B6F-9964-D242-8D5F-C7A55D436BC0","","3",""
"","","","Cabling","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","AC 5'","0","3/24/2015 12:58:40 AM","","","C4D0137E-C7A4-D445-B4DA-57EB037B385B","","4",""
"","","","Cabling","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","Twofers","0","3/24/2015 12:58:40 AM","","","62EBF3FE-F1CA-194E-B817-C866C50AF438","","10",""
"","","","Cabling","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","AC 25'","0","3/24/2015 12:58:41 AM","","","3D647958-767B-4546-8482-E97DA3371CCA","","4",""
"","","","Cabling","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","AC 50'","0","3/24/2015 12:58:42 AM","","","C8D5DB54-E750-3446-B677-E607BDDD2B35","","2",""
"","","","Cabling","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","0","Quad Box","0","3/24/2015 12:58:42 AM","","","B970F227-87BE-C145-BBFC-F096F58C3A02","","4",""
"Audio","","","Cabling","","0594CE47-CFA9-BA4D-A8E7-B95ADC7358A3","1241DBD4-D3FD-B24E-8088-3CC575C39821","XLR 10'","0","3/24/2015 1:05:41 AM","","","942F2625-F2DB-0844-9D42-1BD4F38965BD","0","12",""
"Audio","","","Cabling","","0594CE47-CFA9-BA4D-A8E7-B95ADC7358A3","5CB84FE6-E3F3-D24C-A280-4D71132FDD64","XLR 25'","0","3/24/2015 1:05:42 AM","","","C05C6328-C538-5E4A-A332-425F1EC4610A","0","25",""
